region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
USA,US,AkNYuIczfWo,YoungBoy Never Broke Again - Deep Down (Official Music Video),1676893,90559,YoungBoy Never Broke Again,2023-10-27T03:20:55Z,UClW4jraMKz6Qj69lJf-tODA,PT3M28S
USA,US,c_jqIZhACKM,UNDERVERSE 0.7 Part 2 [By Jakei],985341,104664,Jael Peñaloza,2023-10-28T14:00:09Z,UCm6xtTe5SrgjOy3VmRz4PCw,PT21M35S
USA,US,_y7iz7jzmmY,Beating Jekyll and Hyde - Angry Video Game Nerd (AVGN),932710,73411,Cinemassacre,2023-10-27T23:54:44Z,UC0M0rxSz3IF0CsSour1iWmw,PT26M51S
USA,US,hLvWy2b857I,LE SSERAFIM (르세라핌) 'Perfect Night' OFFICIAL M/V with OVERWATCH 2,19122501,508168,HYBE LABELS,2023-10-27T03:58:10Z,UC3IZKseVpdzPSBaWxBxundA,PT3M3S
USA,US,0sp-iLOqScQ,skibidi toilet 67 (part 1),40437595,1381306,DaFuq!?Boom!,2023-10-27T04:00:02Z,UCsSsgPaZ2GSmO6il8Cb5iGA,PT1M50S
USA,US,2px4-y1Y0PI,Mary J. Blige - Still Believe in Love (feat. Vado) [Official Video],1339878,64068,Mary J Blige,2023-10-27T14:00:11Z,UCj5CgwX_iJEqJsqUJyYjg4A,PT4M9S
USA,US,acSB_pQJyCo,D-backs vs. Rangers World Series Game 1 Highlights (10/27/23) | MLB Highlights,1197419,18028,MLB,2023-10-28T05:53:16Z,UCoLrcjPV5PbUrUyXq5mjc_A,PT12M53S
USA,US,2dzlDYcG8Xc,Surviving A Week at The Conjuring House PT 2: The Woods,11069237,400603,Sam and Colby,2023-10-25T18:11:01Z,UCg3gzldyhCHJjY7AWWTNPPA,PT1H43M
USA,US,F5kR7mLrX3w,Fuerza Regida - EXCESOS [Video Oficial],2651962,71387,FUERZA REGIDA,2023-10-27T01:00:18Z,UCFLI6KAjrKRtydD7KqiYvAw,PT3M13S
USA,US,7oi3tkW7z-k,Cartman’s Nightmare - SOUTH PARK,1070182,61711,South Park Studios,2023-10-27T15:50:00Z,UC7R27sAWc_DqOldtI1JcYhQ,PT2M21S
USA,US,qobkulZClFA,COP APPROACHES me while mowing DESERTED HOME and tells me THIS,2162110,80141,SB Mowing,2023-10-27T13:00:48Z,UC1PrvGO58IkNPTqD_0zoVrA,PT35M42S
USA,US,vD5iE5b9eC4,Extreme Camouflage Hide and Seek,840732,36235,rekrap2,2023-10-27T13:30:24Z,UCvt0HYxX34vUvqu66HLXeUw,PT19M9S
USA,US,soNKxgX8JaY,Strange Behaviour | Ep. 2 | Secret Life,790940,45483,LDShadowLady,2023-10-27T12:15:05Z,UCzTlXb7ivVzuFlugVCv3Kvg,PT15M15S
USA,US,248T2WLc1Yc,Diogo Dalot SCREAMER Wins It! 🚀 | Sheffield Utd 1-2 Man Utd | Highlights,3814561,69232,Manchester United,2023-10-21T23:00:02Z,UC6yW44UGJJBvYTlfC7CRg2Q,PT3M
USA,US,tNxUxm3-658,Taylor Swift - Is It Over Now? (Taylor's Version) (From The Vault) (Lyric Video),3029065,130763,TaylorSwiftVEVO,2023-10-27T04:00:36Z,UCANLZYMidaCbLQFWXBC95Jg,PT3M55S
USA,US,SKZmrmktYls,"We Took 4,108 Shots and Our Top 10 Goals are INSANE...",2162910,123604,ChrisMD,2023-10-27T19:58:10Z,UCQ-YJstgVdAiCT52TiBWDbg,PT24M51S
USA,US,g0saeu9wqeY,The Inside Guys React to Damian Lillard's Historic Bucks Debut | NBA on TNT,1334728,16569,NBA on TNT,2023-10-27T06:05:34Z,UCU7iRrk3xfpUk0R6VdyC1Ow,PT12M53S
